id	name	test1	test2	test3
1	消灭100个敌人	1,100	-1,2,-3	1,1;2,2
2	消灭1000个敌人	1,1000	1,2,3,4	1,1;2,2;3,3
3	消灭1900个敌人	1,1900	-1,2,-4	1,1;2,3
4	消灭2800个敌人	1,2800	1,2,3,5	1,1;2,2;3,4
5	消灭3700个敌人	1,3700	-1,2,-5	1,1;2,4
6	消灭4600个敌人	1,4600	1,2,3,6	1,1;2,2;3,5
7	消灭5500个敌人	1,5500	-1,2,-6	1,1;2,5
8	消灭6400个敌人	1,6400	1,2,3,7	1,1;2,2;3,6
9	消灭7300个敌人	1,7300	-1,2,-7	1,1;2,6
10	消灭8200个敌人	1,8200	1,2,3,8	1,1;2,2;3,7
11	消灭9100个敌人	1,9100	-1,2,-8	1,1;2,7
12	消灭10000个敌人	1,10000	1,2,3,9	1,1;2,2;3,8
13	消灭10900个敌人	1,10900	-1,2,-9	1,1;2,8
14	消灭11800个敌人	1,11800	1,2,3,10	1,1;2,2;3,9
15	消灭12700个敌人	1,12700	-1,2,-10	1,1;2,9
16	消灭13600个敌人	1,13600	1,2,3,11	1,1;2,2;3,10
17	消灭14500个敌人	1,14500	-1,2,-11	1,1;2,10
18	消灭15400个敌人	1,15400	1,2,3,12	1,1;2,2;3,11
19	消灭16300个敌人	1,16300	-1,2,-12	1,1;2,11
20	消灭17200个敌人	1,17200	1,2,3,13	1,1;2,2;3,12
21	消灭18100个敌人	1,18100	-1,2,-13	1,1;2,12
22	消灭19000个敌人	1,19000	1,2,3,14	1,1;2,2;3,13
23	消灭19900个敌人	1,19900	-1,2,-14	1,1;2,13
24	消灭20800个敌人	1,20800	1,2,3,15	1,1;2,2;3,14
25	消灭21700个敌人	1,21700	-1,2,-15	1,1;2,14
26	消灭22600个敌人	1,22600	1,2,3,16	1,1;2,2;3,15
27	消灭23500个敌人	1,23500	-1,2,-16	1,1;2,15
28	消灭24400个敌人	1,24400	1,2,3,17	1,1;2,2;3,16
29	消灭25300个敌人	1,25300	-1,2,-17	1,1;2,16
30	消灭26200个敌人	1,26200	1,2,3,18	1,1;2,2;3,17
31	消灭27100个敌人	1,27100	-1,2,-18	1,1;2,17
32	消灭28000个敌人	1,28000	1,2,3,19	1,1;2,2;3,18
33	消灭28900个敌人	1,28900	-1,2,-19	1,1;2,18
34	消灭29800个敌人	1,29800	1,2,3,20	1,1;2,2;3,19
35	消灭30700个敌人	1,30700	-1,2,-20	1,1;2,19
36	消灭31600个敌人	1,31600	1,2,3,21	1,1;2,2;3,20
37	消灭32500个敌人	1,32500	-1,2,-21	1,1;2,20
38	消灭33400个敌人	1,33400	1,2,3,22	1,1;2,2;3,21
39	消灭34300个敌人	1,34300	-1,2,-22	1,1;2,21
40	消灭35200个敌人	1,35200	1,2,3,23	1,1;2,2;3,22
41	消灭36100个敌人	1,36100	-1,2,-23	1,1;2,22
42	消灭37000个敌人	1,37000	1,2,3,24	1,1;2,2;3,23
43	消灭37900个敌人	1,37900	-1,2,-24	1,1;2,23
44	消灭38800个敌人	1,38800	1,2,3,25	1,1;2,2;3,24
45	消灭39700个敌人	1,39700	-1,2,-25	1,1;2,24
46	消灭40600个敌人	1,40600	1,2,3,26	1,1;2,2;3,25
47	消灭41500个敌人	1,41500	-1,2,-26	1,1;2,25
48	消灭42400个敌人	1,42400	1,2,3,27	1,1;2,2;3,26
49	消灭43300个敌人	1,43300	-1,2,-27	1,1;2,26
50	消灭44200个敌人	1,44200	1,2,3,28	1,1;2,2;3,27
51	消灭45100个敌人	1,45100	-1,2,-28	1,1;2,27
52	消灭46000个敌人	1,46000	1,2,3,29	1,1;2,2;3,28
53	消灭46900个敌人	1,46900	-1,2,-29	1,1;2,28
54	消灭47800个敌人	1,47800	1,2,3,30	1,1;2,2;3,29
55	消灭48700个敌人	1,48700	-1,2,-30	1,1;2,29
56	消灭49600个敌人	1,49600	1,2,3,31	1,1;2,2;3,30
57	消灭50500个敌人	1,50500	-1,2,-31	1,1;2,30
58	消灭51400个敌人	1,51400	1,2,3,32	1,1;2,2;3,31
